date,open,high,low,close,volume
2018-09-14,8.65,8.78,8.47,8.71,15198450.0
2018-09-17,8.65,8.65,8.35,8.4,10619200.0
2018-09-18,8.34,8.52,8.3,8.47,17162000.0
2018-09-19,8.56,8.84,8.45,8.66,18437875.0
2018-09-20,8.65,8.8,8.55,8.62,10417192.0
2018-09-21,8.78,8.78,8.46,8.51,39585294.0
2018-09-24,8.59,8.59,8.37,8.45,8743700.0
2018-09-26,8.48,8.65,8.4,8.47,23119612.0
2018-09-27,8.53,8.53,8.25,8.36,22723155.0
2018-09-28,8.45,8.5,8.38,8.44,13051157.0
2018-10-02,8.38,8.54,8.38,8.41,11951403.0
2018-10-03,8.45,8.5,8.37,8.39,11648900.0
2018-10-04,8.39,8.44,8.07,8.26,25972300.0
2018-10-05,8.12,8.2,7.86,7.93,32171279.0
2018-10-08,8.08,8.09,7.62,7.7,35912118.0
2018-10-09,7.7,7.89,7.67,7.79,24191000.0
2018-10-10,7.8,7.92,7.41,7.49,39673788.0
2018-10-11,7.1,7.18,6.7,6.92,76410229.0
2018-10-12,7.0,7.22,6.72,7.18,45348153.0
2018-10-15,7.2,7.29,6.85,6.9,26913949.0
2018-10-16,6.97,6.98,6.73,6.81,22235249.0
2018-10-18,6.89,6.9,6.62,6.76,32822029.0
2018-10-19,6.69,6.82,6.45,6.68,30467784.0
2018-10-22,6.75,6.95,6.7,6.83,36528846.0
2018-10-23,6.8,6.87,6.44,6.45,35073891.0
2018-10-24,6.5,6.55,6.18,6.23,54225048.0
2018-10-25,6.1,6.1,5.9,6.04,52154956.0
2018-10-26,6.19,6.2,5.94,5.99,23468556.0
2018-10-29,6.04,6.08,5.95,6.0,14753683.0
2018-10-30,5.99,6.02,5.88,5.99,13323479.0
2018-10-31,6.15,6.47,6.02,6.47,39573220.0
2018-11-01,6.54,6.77,6.48,6.57,44388713.0
2018-11-02,6.87,7.28,6.76,7.27,66804072.0
2018-11-05,7.04,7.17,6.9,7.13,32084940.0
2018-11-06,7.13,7.13,6.8,6.94,23874000.0
2018-11-07,6.94,7.06,6.78,6.88,14878019.0
2018-11-08,7.02,7.02,6.46,6.56,50356800.0
2018-11-09,6.48,6.51,6.26,6.35,31851200.0
2018-11-12,6.4,6.5,6.25,6.5,16951400.0
2018-11-13,6.32,6.46,6.27,6.41,28182509.0
2018-11-14,6.42,6.52,6.32,6.34,27545170.0
2018-11-15,6.39,6.75,6.3,6.7,43801409.0
2018-11-16,6.65,7.0,6.65,6.86,40820240.0
2018-11-19,6.88,6.93,6.71,6.85,22233592.0
2018-11-20,6.66,6.8,6.59,6.65,24796172.0
2018-11-21,6.68,7.08,6.56,7.04,37807037.0
2018-11-22,7.06,7.23,6.92,7.05,32279730.0
2018-11-23,7.05,7.05,6.81,6.95,23465497.0
2018-11-26,6.99,7.0,6.82,6.99,21299916.0
2018-11-27,7.02,7.22,6.98,7.2,29049349.0
2018-11-28,7.27,7.27,7.15,7.24,16735387.0
2018-11-29,7.29,7.35,7.0,7.16,23858846.0
2018-11-30,7.16,7.27,7.03,7.19,31654413.0
2018-12-03,7.38,7.55,7.38,7.42,36771031.0
2018-12-04,7.45,7.62,7.43,7.62,28980632.0
2018-12-05,7.35,7.45,7.3,7.44,23217224.0
2018-12-06,7.35,7.37,7.05,7.15,37932785.0
2018-12-07,7.25,7.4,7.19,7.29,17186314.0
2018-12-10,7.2,7.45,7.05,7.44,18618000.0
2018-12-11,7.37,7.49,7.33,7.44,20696549.0
2018-12-12,7.5,7.63,7.32,7.52,21676100.0
2018-12-13,7.58,7.58,7.43,7.52,12780553.0
2018-12-14,7.53,7.53,7.35,7.45,14211846.0
2018-12-17,7.45,7.56,7.32,7.52,12200518.0
2018-12-18,7.49,7.49,7.31,7.41,14070632.0
2018-12-19,7.41,7.44,7.31,7.42,14055170.0
2018-12-20,7.4,7.5,7.08,7.12,18461852.0
2018-12-21,7.07,7.12,6.74,6.85,34536414.0
2018-12-24,6.84,6.87,6.73,6.83,9055002.0
2018-12-27,6.84,7.0,6.69,6.76,8220939.0
2018-12-28,6.8,6.94,6.73,6.87,5694726.0
2018-12-31,6.95,6.97,6.7,6.85,4198152.0
2019-01-02,6.85,6.85,6.55,6.58,14886718.0
2019-01-03,6.57,6.58,6.33,6.43,19588583.0
2019-01-04,6.3,6.43,6.27,6.31,24889653.0
2019-01-07,6.48,6.49,6.26,6.33,18680891.0
2019-01-08,6.36,6.43,6.31,6.32,16009247.0
2019-01-09,6.38,6.6,6.38,6.53,58751092.0
2019-01-10,6.57,6.61,6.41,6.56,21388955.0
2019-01-11,6.61,6.63,6.48,6.57,12904124.0
2019-01-14,6.59,6.63,6.33,6.37,10628271.0
2019-01-15,6.39,6.63,6.35,6.59,15769730.0
2019-01-16,6.58,6.58,6.49,6.56,11959931.0
2019-01-17,6.56,6.7,6.46,6.51,24692818.0
2019-01-18,6.5,6.83,6.5,6.79,21597974.0
2019-01-21,6.88,7.24,6.79,7.11,35762873.0
2019-01-22,7.06,7.19,6.78,6.92,17371739.0
2019-01-23,6.85,7.0,6.84,6.87,9058539.0
2019-01-24,6.91,7.42,6.82,7.37,47489309.0
2019-01-25,7.49,7.58,7.33,7.39,34312540.0
2019-01-28,7.4,7.5,7.15,7.23,20847828.0
2019-01-29,7.11,7.46,7.1,7.41,19202900.0
2019-01-30,7.45,7.46,7.23,7.31,9799500.0
2019-01-31,7.38,7.48,7.31,7.39,13219932.0
2019-02-01,7.4,7.46,7.24,7.37,10085547.0
2019-02-04,7.35,7.47,7.32,7.36,6745366.0
