date,open,high,low,close,volume
2020-07-16,95.0,95.0,80.0,82.92,5521039.02
2020-07-17,79.0,84.9,75.0,77.06,2194715.88
2020-07-20,77.19,80.51,70.02,79.17,2285833.38
2020-07-21,78.3,82.89,77.77,78.63,1618732.71
2020-07-22,77.8,81.78,77.2,79.57,1339427.9
2020-07-23,78.01,79.72,75.85,78.78,1229369.78
2020-07-24,77.5,78.12,71.52,71.95,1301677.75
2020-07-27,72.67,73.81,70.02,70.82,791105.6
2020-07-28,72.82,75.16,72.03,72.56,810405.94
2020-07-29,71.9,75.2,71.6,75.07,868857.69
2020-07-30,75.27,76.39,73.2,75.69,994265.82
2020-07-31,74.9,84.99,74.81,82.21,1572507.73
2020-08-03,85.4,87.88,83.77,84.0,1433260.6
2020-08-04,84.3,84.49,80.2,81.08,855062.77
2020-08-05,87.0,87.0,82.58,83.0,1172417.44
2020-08-06,82.0,85.88,81.11,84.82,1012036.06
2020-08-07,83.3,83.3,78.92,80.47,1118274.66
2020-08-10,78.32,79.65,76.86,77.89,723054.15
2020-08-11,77.8,78.8,76.33,76.4,544647.74
2020-08-12,76.33,76.92,73.78,75.23,554110.63
2020-08-13,75.81,76.66,74.86,75.18,378661.75
2020-08-14,75.0,75.77,74.45,75.55,299918.72
2020-08-17,75.0,76.45,74.0,76.02,571345.97
2020-08-18,76.18,76.18,74.09,74.28,605516.64
2020-08-19,74.0,74.0,71.77,71.84,609652.9
2020-08-20,71.2,73.09,70.86,72.1,343108.25
2020-08-21,72.71,72.93,71.5,71.87,255001.6
2020-08-24,72.0,72.85,70.72,72.0,356382.95
2020-08-25,72.29,72.8,70.8,70.82,351481.3
2020-08-26,70.69,71.45,65.51,66.26,837036.05
2020-08-27,65.89,68.6,63.89,67.23,629411.0
2020-08-28,67.8,68.19,66.21,66.78,413416.74
2020-08-31,66.9,67.8,66.67,66.68,325629.58
2020-09-01,66.3,66.47,65.01,65.35,324094.15
2020-09-02,65.5,65.54,64.02,64.17,369392.59
2020-09-03,64.19,65.48,63.03,65.08,554351.01
2020-09-04,63.9,67.54,63.51,66.28,534807.01
2020-09-07,61.4,62.2,58.66,58.8,1275863.61
2020-09-08,58.2,58.8,57.28,57.55,511819.85
2020-09-09,56.6,56.82,54.11,54.11,661991.04
2020-09-10,54.8,55.4,52.76,52.78,390404.35
2020-09-11,52.78,55.49,52.66,55.23,434022.79
2020-09-14,55.61,56.25,54.8,54.88,346829.72
2020-09-15,54.99,56.98,53.71,56.39,489882.29
2020-09-16,55.68,58.28,55.51,56.7,497148.1
2020-09-17,56.08,58.58,55.8,57.7,498180.44
2020-09-18,57.4,58.2,56.83,57.69,338084.1
2020-09-21,58.06,58.4,56.41,56.46,283907.6
2020-09-22,56.0,57.34,55.62,55.86,217313.49
2020-09-23,56.25,56.88,55.82,56.22,217775.56
2020-09-24,55.7,56.29,54.5,54.5,233235.38
2020-09-25,54.8,54.87,53.66,53.7,198483.86
2020-09-28,51.5,51.51,49.9,49.94,556010.45
2020-09-29,50.18,50.65,49.45,50.09,288846.98
2020-09-30,50.25,50.5,49.5,49.65,231546.95
2020-10-09,51.0,51.38,50.5,50.94,302764.67
2020-10-12,51.4,58.17,51.18,57.41,836250.45
2020-10-13,56.6,57.74,55.93,57.29,445690.09
2020-10-14,57.3,57.45,55.77,55.96,288843.19
2020-10-15,56.2,59.86,56.2,57.3,565421.4
2020-10-16,59.5,59.86,57.7,58.21,380308.2
2020-10-19,58.49,61.1,57.76,60.28,590069.12
2020-10-20,59.7,59.98,58.4,59.5,350669.61
2020-10-21,59.69,59.8,56.92,57.65,351384.18
2020-10-22,57.2,58.8,56.38,57.67,288264.55
2020-10-23,57.6,58.18,57.13,57.22,247572.87
2020-10-26,56.89,58.8,56.26,58.45,322355.87
2020-10-27,58.0,59.02,57.5,58.7,290649.23
2020-10-28,58.55,59.59,57.81,59.33,330595.53
2020-10-29,58.55,61.32,58.4,60.88,481297.87
2020-10-30,61.05,65.54,61.05,62.24,915714.92
2020-11-02,63.44,63.47,60.35,62.65,511623.09
2020-11-03,62.5,65.47,62.34,64.56,550197.05
2020-11-04,64.2,65.25,62.51,63.0,460192.42
2020-11-05,65.0,65.5,63.56,64.84,414596.41
2020-11-06,64.59,65.65,64.02,64.95,358663.55
2020-11-09,66.5,69.25,66.0,67.85,735674.16
2020-11-10,66.78,68.0,65.8,66.01,414215.9
2020-11-11,65.5,65.66,61.21,61.36,614657.94
2020-11-12,62.9,63.39,61.58,61.86,287130.37
2020-11-13,61.9,63.07,60.5,62.46,273942.21
2020-11-16,62.54,63.18,61.3,61.79,223923.96
2020-11-17,61.61,61.66,59.4,60.93,360931.78
2020-11-18,60.65,61.89,60.45,61.36,236991.92
2020-11-19,60.95,62.05,60.45,61.23,184347.11
2020-11-20,61.45,61.77,60.6,61.03,174247.85
2020-11-23,60.85,61.45,60.03,60.91,222008.29
2020-11-24,60.65,61.95,60.48,61.31,218930.51
2020-11-25,61.3,61.62,60.18,60.2,211156.25
2020-11-26,60.29,60.88,58.61,58.64,238653.84
2020-11-27,58.41,59.66,58.34,58.93,167840.34
2020-11-30,58.88,60.54,57.5,59.25,322065.24
2020-12-01,58.66,59.06,58.3,58.89,253990.34
2020-12-02,59.17,61.29,59.17,60.9,479756.21
2020-12-03,61.06,61.1,60.03,60.19,220439.29
2020-12-04,59.49,59.77,57.5,58.2,475530.67
2020-12-07,60.26,61.48,60.16,60.33,465485.01
2020-12-08,60.5,61.1,60.12,60.96,334273.94
2020-12-09,60.84,61.1,60.3,60.35,280367.15
2020-12-10,60.0,61.33,59.98,61.0,358192.25
2020-12-11,60.95,61.52,60.23,60.99,401094.79
2020-12-14,61.2,61.29,59.98,60.62,223039.67
